id;nombre;apellido;direccion;telefono;mail
1;Juan;Perez;Boyaca 555 CABA;1152889655;juanperez@gmail.com
2;Jose;Ceballos;Caracas 2155 CABA;1187923355;joseceballos@mail.com
3;Carla;Farias;Av Segurola 2322 1øB CABA;1155224855;carlafarias@gmail.com
4;Carolina;Gomez;Av Hipolito Yirigoyen 522 Lanus GBA;1166128799;gomezcarolina33@gmail.com
5;Norberto;Carrizo;Av Mitre 2251 5øA Avellaneda GBA;1165442525;carrizonorberto@mail.com
6;Paula;Carrasco;Av Nazca 859 CABA;1144558484;carrascop@gmail.com
7;Jorge;Gonzalez;Serrano 755 CABA;1154883255;DEFAULT
8;Jonathan;Garcia;Av Libertador 5233 11øC CABA;1154552300;garciajonathan11@gmail.com
9;Cinthia;Morales;Av Callao 202 CABA;1189655145;DEFAULT
10;Debora;Caruso;Carlos Calvo 3255 4øA CABA;1144887784;deboracar@gmail.com
